Bowler,Average,Wickets,Runs Conceded,Balls Bowled,Strike Rate,Average Score,Strike Rate Score,Wickets Score,Total Score
SN Netravalkar,13.466666666666667,15,202,158,10.533333333333333,1.9213888409310984,2.030494821634062,5.0,8.95188366256516
R Ravindra,6.083333333333333,12,73,91,7.583333333333333,2.5,2.2722277722277724,4.142857142857142,8.915084915084915
CJ Gannon,19.272727272727273,11,212,138,12.545454545454545,1.777769036004978,1.9308300395256919,3.857142857142857,7.565741932673527
M Jansen,24.272727272727273,11,267,186,16.90909090909091,1.7091500484137057,1.7961876832844574,3.857142857142857,7.36248058884102
Hassan Khan,15.6,10,156,132,13.2,1.8561944752240431,1.9049586776859504,3.5714285714285716,7.332581724338565
Rashid Khan,16.0,10,160,156,15.6,1.8459059893858982,1.8286713286713288,3.5714285714285716,7.246005889485799
GJ Maxwell,17.0,10,170,153,15.3,1.8223029924630958,1.8368983957219251,3.5714285714285716,7.230629959613593
Noor Ahmad,13.444444444444445,9,121,96,10.666666666666666,1.9221768306818965,2.0227272727272725,3.2857142857142856,7.230618389123455
Jasdeep Singh,6.5,6,39,42,7.0,2.4323496821601447,2.344155844155844,2.428571428571429,7.205076954887417
LH Ferguson,18.4,10,184,152,15.2,1.7935689092527276,1.839712918660287,3.5714285714285716,7.204710399341586
MP Stoinis,24.22222222222222,9,218,126,14.0,1.709701539253396,1.8766233766233766,3.2857142857142856,6.8720392015910585
SH Johnson,21.444444444444443,9,193,144,16.0,1.7440339871232329,1.8181818181818183,3.2857142857142856,6.847930091019337
TA Boult,26.77777777777778,9,241,156,17.333333333333332,1.6844066452958515,1.7867132867132867,3.2857142857142856,6.756834217723424
AJ Tye,10.6,5,53,30,6.0,2.0503168495286594,2.5,2.142857142857143,6.693173992385802
Harmeet Singh,18.625,8,149,116,14.5,1.7893538423963649,1.8605015673981191,3.0,6.649855409794484
Zia-ul-Haq,28.0,7,196,138,19.714285714285715,1.673941297519766,1.7411067193675889,2.7142857142857144,6.12933373117307
KA Pollard,14.6,5,73,56,11.2,1.884382107657316,1.9935064935064937,2.142857142857143,6.020745744020953
NP Kenjige,21.5,6,129,112,18.666666666666668,1.7432603981169665,1.7597402597402598,2.428571428571429,5.931572086428655
Mohammad Mohsin,24.5,6,147,137,22.833333333333332,1.7066964769228388,1.6957531519575315,2.428571428571429,5.8310210574517995
BL Couch,19.4,5,97,68,13.6,1.7755836583478581,1.8903743315508021,2.142857142857143,5.808815132755804
LE Plunkett,21.0,5,105,71,14.2,1.7503700494602692,1.8700384122919336,2.142857142857143,5.763265604609346
DJ Bravo,22.6,5,113,75,15.0,1.7287265090877373,1.8454545454545455,2.142857142857143,5.717038197399425
Ali Khan,27.0,5,135,97,19.4,1.6824333810687109,1.7464854732895971,2.142857142857143,5.57177599721545
SP Narine,29.8,5,149,144,28.8,1.6600917921345741,1.6363636363636365,2.142857142857143,5.439312571355353
Haris Rauf,58.8,5,294,194,38.8,1.5538389730418323,1.5777881911902532,2.142857142857143,5.274484307089228
OEG Baartman,15.25,4,61,48,12.0,1.0301774816987532,1.1590909090909092,1.8571428571428572,4.04641124793252
CJ Anderson,17.75,4,71,49,12.25,0.9442017533556151,1.1429499072356215,1.8571428571428572,3.9442945177340936
JG Dill,20.25,4,81,48,12.0,0.879454599912017,1.1590909090909092,1.8571428571428572,3.8956883661457833
AM Hardie,25.0,4,100,51,12.75,0.7921106899166035,1.112566844919786,1.8571428571428572,3.7618203919792466
A Desai,15.0,2,30,24,12.0,1.0403512762193579,1.1590909090909092,1.2857142857142856,3.4851564710245526
Zaman Khan,26.5,4,106,88,22.0,0.7710336590041054,0.7995867768595042,1.8571428571428572,3.4277632930064668
MW Short,26.0,4,104,90,22.5,0.7777891176299061,0.79,1.8571428571428572,3.4249319747727633
Imad Wasim,27.75,4,111,102,25.5,0.7552100622229507,0.7403743315508022,1.8571428571428572,3.35272725091661
Ehsan Adil,21.666666666666668,3,65,60,20.0,0.849396979063393,0.8427272727272728,1.5714285714285714,3.2635528232192375
KMA Paul,25.333333333333332,3,76,60,20.0,0.7872112046606281,0.8427272727272728,1.5714285714285714,3.201367048816472
CP Savage,19.5,2,39,30,15.0,0.8971355533523842,1.000909090909091,1.2857142857142856,3.1837589299757605
N Burger,46.5,4,186,120,30.0,0.6199438316743704,0.6845454545454546,1.8571428571428572,3.161632143362682
SC van Schalkwyk,17.0,1,17,12,12.0,0.967339339071489,1.1590909090909092,1.0,3.1264302481623982
PJ Cummins,52.75,4,211,138,34.5,0.5962241609146668,0.6432806324110671,1.8571428571428572,3.096647650468591
MJ Santner,21.0,2,42,36,18.0,0.8630365717173905,0.8954545454545455,1.2857142857142856,3.0442054028862215
J Drysdale,45.666666666666664,3,137,78,26.0,0.6235970072439306,0.7332167832167833,1.5714285714285714,2.9282423618892857
R Shepherd,39.333333333333336,3,118,90,30.0,0.6564198609629791,0.6845454545454546,1.5714285714285714,2.9123938869370054
C le Roux,45.333333333333336,3,136,94,31.333333333333332,0.6250958836908531,0.671083172147002,1.5714285714285714,2.867607627266427
IG Holland,35.5,2,71,42,21.0,0.6819757819090433,0.8201298701298702,1.2857142857142856,2.787819937753199
AJ Hosein,40.0,2,80,42,21.0,0.652475360121304,0.8201298701298702,1.2857142857142856,2.75831951596546
CA Dry,44.0,2,88,72,36.0,0.631318491970501,0.6318181818181818,1.2857142857142856,2.5488509595029685
G Coetzee,28.0,1,28,24,24.0,0.7522148814036607,0.7636363636363637,1.0,2.5158512450400243
AD Russell,60.5,2,121,84,42.0,0.5736179424683112,0.5941558441558441,1.2857142857142856,2.453488072338441
A Nortje,42.0,1,42,30,30.0,0.641393191089931,0.6845454545454546,1.0,2.3259386456353854
L Ngidi,56.0,1,56,31,31.0,0.5859823459330662,0.6743401759530792,1.0,2.2603225218861454
Abrar Ahmed,59.0,1,59,42,42.0,0.5775298441294766,0.5941558441558441,1.0,2.171685688285321
MG Bracewell,58.0,1,58,48,48.0,0.5802501895375284,0.5659090909090909,1.0,2.146159280446619
Shakib Al Hasan,111.0,1,111,60,60.0,0.5036148734025914,0.5263636363636364,1.0,2.0299785097662277
Naveen-ul-Haq,116.0,1,116,72,72.0,0.5,0.5,1.0,2.0
