Player,Runs Scored,Balls Faced,Batting SR,Batting AVG,Runs Score,Batting AVG Score,Batting SR Score,Batting Score
JJ Roy,163,138,118.1159420289855,27.166666666666668,2.552380952380952,1.4702380952380951,0.912992804297152,4.9356118519162
SP Narine,27,28,96.42857142857144,4.5,1.2571428571428571,0.6607142857142857,0.375,2.2928571428571427
UBT Chand,158,132,119.6969696969697,26.33333333333333,2.5047619047619047,1.4404761904761905,0.9490358126721764,4.894273907910272
Shakib Al Hasan,60,48,125.0,15.0,1.5714285714285714,1.0357142857142856,1.06993006993007,3.677072927072927
DA Miller,81,67,120.89552238805967,16.2,1.7714285714285714,1.0785714285714283,0.976359461434088,3.826359461434088
AD Russell,129,80,161.25,25.8,2.2285714285714286,1.4214285714285717,1.896328671328672,5.546328671328672
Saif Badar,64,56,114.28571428571428,32.0,1.6095238095238096,1.6428571428571428,0.8256743256743255,4.0780552780552775
RD Rickelton,225,152,148.0263157894737,45.0,3.142857142857143,2.107142857142857,1.5948656606551348,6.844865660655135
Nauman Anwar,12,20,60.0,4.0,1.1142857142857143,0.6428571428571428,0.375,2.132142857142857
Q de Kock,170,136,125.0,28.33333333333333,2.619047619047619,1.511904761904762,1.06993006993007,5.200882450882451
TM Head,336,194,173.1958762886598,48.0,4.2,2.2142857142857144,2.1686612356715456,8.582946949957261
SPD Smith,336,226,148.67256637168143,56.0,4.2,2.5,1.6095983662355346,8.309598366235535
AGS Gous,153,128,119.53125,38.25,2.4571428571428573,1.8660714285714288,0.9452578671328672,5.268472152847154
GJ Maxwell,153,93,164.51612903225808,38.25,2.4571428571428573,1.8660714285714288,1.9707872772388904,6.294001562953177
R Ravindra,99,72,137.5,14.142857142857142,1.9428571428571428,1.0051020408163265,1.354895104895105,4.302854288568574
AJ Pienaar,78,61,127.8688524590164,3.0,1.7428571428571429,0.6071428571428571,1.1353318812335211,3.485331881233521
SR Taylor,18,16,112.5,9.0,1.1714285714285717,0.8214285714285714,0.784965034965035,2.777822177822178
MD Patel,133,125,106.4,19.0,2.2666666666666666,1.1785714285714286,0.6459020979020981,4.091140193140194
Shayan Jahangir,38,50,76.0,9.5,1.361904761904762,0.8392857142857143,0.375,2.5761904761904764
D Brevis,85,64,132.8125,21.25,1.809523809523809,1.2589285714285714,1.2480332167832169,4.316485597735598
N Pooran,180,144,125.0,30.0,2.7142857142857144,1.5714285714285714,1.06993006993007,5.355644355644356
KA Pollard,63,64,98.4375,12.6,1.6,0.95,0.375,2.925
R Shepherd,40,33,121.21212121212122,13.333333333333334,1.380952380952381,0.9761904761904764,0.9835770290315746,3.340719886174432
Rashid Khan,162,91,178.021978021978,40.5,2.5428571428571427,1.946428571428572,2.2786828556059326,6.767968569891647
TA Boult,26,22,118.1818181818182,8.666666666666666,1.2476190476190476,0.8095238095238095,0.9144945963127784,2.971637453455635
NP Kenjige,14,11,127.27272727272728,1.5,1.1333333333333333,0.5535714285714286,1.121741894469167,2.808646656373929
Ehsan Adil,1,3,33.33333333333333,1.0,1.0095238095238095,0.5357142857142857,0.375,1.920238095238095
NR Kumar,84,82,102.4390243902439,16.8,1.8,1.1,0.5556029336517141,3.4556029336517144
CA Dry,13,9,144.44444444444443,13.0,1.1238095238095238,0.9642857142857144,1.513209013209013,3.601304251304251
SH Johnson,26,14,185.7142857142857,13.0,1.2476190476190476,0.9642857142857144,2.4540459540459545,4.665950715950716
J Little,4,7,57.14285714285714,1.5,1.0380952380952382,0.5535714285714286,0.375,1.9666666666666668
R Clinton,49,52,94.23076923076924,9.8,1.4666666666666668,0.8500000000000001,0.375,2.691666666666667
H Richards,35,29,120.6896551724138,11.666666666666666,1.3333333333333333,0.9166666666666666,0.9716662647697132,3.221666264769713
FH Allen,306,163,187.73006134969324,34.0,3.914285714285714,1.7142857142857142,2.5,8.128571428571428
SP Krishnamurthi,169,124,136.29032258064515,24.142857142857142,2.6095238095238096,1.3622448979591837,1.3273178434468755,5.299086550929869
MW Short,170,94,180.85106382978725,34.0,2.619047619047619,1.7142857142857142,2.343178098497248,6.676511431830581
JP Inglis,157,105,149.52380952380952,19.625,2.495238095238096,1.2008928571428572,1.629004329004329,5.325135281385282
SE Rutherford,42,48,87.5,7.0,1.4,0.75,0.375,2.525
Hassan Khan,204,142,143.66197183098592,40.8,2.942857142857143,1.957142857142857,1.495370826356742,6.395370826356743
CJ Anderson,111,89,124.7191011235955,22.2,2.057142857142857,1.2928571428571427,1.06352636127917,4.413526361279169
PJ Cummins,33,30,110.0,11.0,1.3142857142857145,0.8928571428571428,0.7279720279720283,2.935114885114886
Haris Rauf,23,32,71.875,7.666666666666667,1.2190476190476192,0.7738095238095238,0.375,2.367857142857143
DP Conway,293,204,143.62745098039215,48.833333333333336,3.7904761904761903,2.244047619047619,1.494583847525024,7.529107657048834
J Tromp,94,79,118.9873417721519,18.8,1.8952380952380952,1.1714285714285717,0.9328582809595468,3.999524947626213
F du Plessis,420,245,171.42857142857142,52.5,5.0,2.375,2.128371628371628,9.503371628371628
Milind Kumar,50,53,94.33962264150944,10.0,1.4761904761904765,0.8571428571428572,0.375,2.708333333333333
MP Stoinis,83,71,116.90140845070422,16.6,1.7904761904761903,1.092857142857143,0.8853048360090614,3.7686381693423945
MJ Santner,24,20,120.0,24.0,1.2285714285714286,1.3571428571428572,0.955944055944056,3.5416583416583416
CP Savage,120,76,157.89473684210526,40.0,2.142857142857143,1.9285714285714288,1.819838056680162,5.891266628108733
CAH Stevenson,17,11,154.54545454545453,17.0,1.161904761904762,1.1071428571428572,1.743483788938334,4.0125314079859535
Zia Shahzad,2,3,66.66666666666666,2.0,1.019047619047619,0.5714285714285714,0.375,1.9654761904761904
Noor Ahmad,7,7,100.0,7.0,1.0666666666666669,0.75,0.5,2.3166666666666664
GSNFG Jayasuriya,111,106,104.71698113207547,27.75,2.057142857142857,1.4910714285714286,0.6075339754585042,4.15574826117279
H Klaasen,97,83,116.86746987951808,16.166666666666668,1.923809523809524,1.0773809523809526,0.8845311315190836,3.88572160770956
MG Bracewell,14,20,70.0,4.666666666666667,1.1333333333333333,0.6666666666666667,0.375,2.175
Shubham Ranjane,89,91,97.8021978021978,29.666666666666668,1.847619047619048,1.5595238095238095,0.375,3.7821428571428575
KMA Paul,29,24,120.83333333333331,14.5,1.276190476190476,1.0178571428571428,0.9749417249417248,3.268989343989344
Ali Sheikh,15,9,166.66666666666669,15.0,1.1428571428571428,1.0357142857142856,2.0198135198135203,4.198384948384948
CJ Gannon,28,28,100.0,9.333333333333334,1.2666666666666666,0.8333333333333334,0.5,2.6
N Burger,10,18,55.55555555555556,5.0,1.0952380952380951,0.6785714285714286,0.375,2.148809523809524
A Desai,5,5,100.0,1.5,1.0476190476190477,0.5535714285714286,0.5,2.1011904761904763
J Fraser-McGurk,81,64,126.5625,11.571428571428571,1.7714285714285714,0.9132653061224488,1.1055506993006994,3.79024457685172
