Player,Total Score,Batting Score,Bowling Score,Runs Scored,Wickets Taken,Balls Faced,Batting SR,Batting AVG,Runs Score,Batting AVG Score,Batting SR Score,Wickets Score,Runs Conceded,Balls Bowled,Bowling AVG,Bowling AVG Score,Bowling SR,Bowling SR Score
Rashid Khan,7.006317102882029,6.767968569891647,7.244665635872412,162.0,10.0,91.0,178.021978021978,40.5,2.5428571428571427,1.946428571428572,2.2786828556059326,3.571428571428572,160.0,158.0,16.0,1.8459059893858984,15.8,1.8273310750579423
Hassan Khan,6.865722288617355,6.395370826356743,7.336073750877967,204.0,10.0,142.0,143.66197183098592,40.8,2.942857142857143,1.957142857142857,1.495370826356742,3.571428571428572,156.0,132.0,15.6,1.8561944752240431,13.2,1.908450704225352
GJ Maxwell,6.760172088882877,6.294001562953177,7.226342614812578,153.0,10.0,93.0,164.51612903225808,38.25,2.4571428571428573,1.8660714285714288,1.9707872772388904,3.571428571428572,170.0,156.0,17.0,1.822302992463096,15.6,1.83261105092091
R Ravindra,6.604974515467911,4.302854288568574,8.907094742367246,99.0,12.0,72.0,137.5,14.142857142857142,1.9428571428571428,1.0051020408163265,1.354895104895105,4.142857142857142,73.0,92.0,6.083333333333333,2.5,7.666666666666667,2.2642375995101043
SH Johnson,5.749514451021298,4.665950715950716,6.833078186091879,26.0,9.0,14.0,185.7142857142857,13.0,1.2476190476190476,0.9642857142857144,2.4540459540459545,3.2857142857142856,193.0,151.0,21.444444444444443,1.7440339871232329,16.77777777777778,1.8033299132543603
MP Stoinis,5.30993655979403,3.7686381693423945,6.851234950245665,83.0,9.0,71.0,116.90140845070422,16.6,1.7904761904761903,1.092857142857143,0.8853048360090614,3.2857142857142856,218.0,133.0,24.22222222222222,1.709701539253396,14.77777777777778,1.855819125277984
CJ Gannon,5.077235752168046,2.6,7.554471504336092,28.0,11.0,28.0,100.0,9.333333333333334,1.2666666666666666,0.8333333333333334,0.5,3.857142857142857,212.0,142.0,19.27272727272728,1.777769036004978,12.909090909090908,1.9195596111882565
MW Short,5.049567386094079,6.676511431830581,3.4226233403575765,170.0,4.0,94.0,180.85106382978725,34.0,2.619047619047619,1.7142857142857142,2.343178098497248,1.8571428571428568,104.0,92.0,26.0,0.7777891176299061,23.0,0.7876913655848132
TA Boult,4.8550213948461565,2.971637453455635,6.738405336236677,26.0,9.0,22.0,118.1818181818182,8.666666666666666,1.2476190476190476,0.8095238095238095,0.9144945963127784,3.2857142857142856,241.0,166.0,26.77777777777778,1.6844066452958515,18.444444444444443,1.76828440522654
Noor Ahmad,4.765800018291987,2.3166666666666664,7.214933369917309,7.0,9.0,7.0,100.0,7.0,1.0666666666666669,0.75,0.5,3.2857142857142856,121.0,99.0,13.444444444444445,1.9221768306818965,11.0,2.007042253521127
F du Plessis,4.751685814185814,9.503371628371628,0.0,420.0,,245.0,171.42857142857142,52.5,5.0,2.375,2.128371628371628,,,,,,,
Harmeet Singh,4.666453484532994,2.6869047619047617,6.646002207161225,44.0,8.0,47.0,93.61702127659576,11.0,1.4190476190476191,0.8928571428571428,0.375,3.0,149.0,118.0,18.625,1.7893538423963649,14.75,1.8566483647648604
DJ Bravo,4.640185679097839,3.601304251304251,5.679067106891427,13.0,5.0,9.0,144.44444444444443,13.0,1.1238095238095238,0.9642857142857144,1.513209013209013,2.142857142857143,113.0,83.0,22.6,1.7287265090877373,16.6,1.8074834549465468
CP Savage,4.520640980066575,5.891266628108733,3.150015332024416,120.0,2.0,76.0,157.89473684210526,40.0,2.142857142857143,1.9285714285714288,1.819838056680162,1.2857142857142856,39.0,32.0,19.5,0.8971355533523842,16.0,0.9671654929577465
SN Netravalkar,4.473458504972592,0.0,8.946917009945183,,15.0,,,,,,,5.0,202.0,160.0,13.466666666666669,1.9213888409310984,10.666666666666666,2.0255281690140845
